file	outcome	sheets	cells
poi/Formatting.xlsx	ok	3	24
poi/formula-eval.xlsx	ok	1	4
poi/FormulaEvalTestData_Copy.xlsx	ok	4	6401
poi/FormulaSheetRange.xlsx	ok	5	41
poi/ForShifting.xlsx	ok	3	72
poi/GeneralFormatTests.xlsx	ok	2	1401
poi/github-321.xlsx	ok	1	6
poi/GroupTest.xlsx	ok	1	28
poi/HeaderFooterComplexFormats.xlsx	ok	3	0
poi/headerFooterTest.xlsx	ok	1	2
poi/HsGetVal.xlsx	ok	3	20
poi/hyperlink.xlsb	zuxlsx_unsupported_format_error	0	0
poi/InlineString.xlsx	ok	1	1
poi/InlineStrings.xlsx	ok	3	28
poi/Intersection-52111-xssf.xlsx	ok	3	38
poi/invalid_cell_reference.xlsx	ok	1	2
poi/LIBRE_OFFICE-116306-0.xlsx	ok	2	681341
poi/LIBRE_OFFICE-128382-0.xlsx	ok	2	238
poi/link-external-workbook-a.xlsx	ok	1	2
poi/link-external-workbook-b.xlsx	ok	1	1
poi/MalformedSSTCount.xlsx	ok	1	12
poi/MatrixFormulaEvalTestData.xlsx	ok	1	1333
poi/NewlineInFormulas.xlsx	ok	3	20
poi/NewStyleConditionalFormattings.xlsx	ok	1	357
poi/no_drawing_patriarch.xlsx	ok	1	75770
poi/noSharedStringTable.xlsx	ok	1	2
poi/npe.xlsx	ok	2	258
poi/NumberFormatApproxTests.xlsx	ok	2	1008
poi/NumberFormatTests.xlsx	ok	2	1328
poi/picture-and-shape-same-size.xlsx	ok	1	1
poi/picture.xlsx	ok	3	20
poi/poc-shared-strings.xlsx	ok	1	12000
poi/poc-xmlbomb-empty.xlsx	ok	1	1
poi/poc-xmlbomb.xlsx	ok	1	1
poi/protected_passtika.xlsb	zuxlsx_encrypted_error	0	0
poi/protected_passtika.xlsx	zuxlsx_encrypted_error	0	0
poi/ref-56737.xlsx	ok	3	21
poi/ref2-56737.xlsx	ok	3	30
poi/reordered_sheets.xlsx	ok	4	2
poi/RepeatingRowsCols.xlsx	ok	4	40
poi/resize_compare.xlsx	ok	1	2
poi/right-to-left.xlsx	ok	2	8
poi/sample-beta.xlsx	ok	3	20
poi/sample.strict.xlsx	ok	3	37
poi/sample.xlsb	zuxlsx_unsupported_format_error	0	0
poi/sample.xlsx	ok	3	37
poi/SampleSS.strict.xlsx	ok	3	15
poi/SampleSS.xlsx	ok	3	15
poi/shared_formulas.xlsx	ok	1	81
poi/sharedhyperlink.xlsx	ok	1	8
poi/sheetProtection_allLocked.xlsx	ok	3	0
poi/sheetProtection_not_protected.xlsx	ok	1	2
poi/SheetTabColors.xlsx	ok	3	0
poi/ShrinkToFit.xlsx	ok	3	1
poi/simple-monthly-budget.xlsx	ok	1	97
poi/simple-table-named-range.xlsx	ok	1	15
poi/Simple.xlsb	zuxlsx_unsupported_format_error	0	0
poi/SimpleMultiCell.xlsx	ok	3	15
poi/SimpleNormal.xlsx	ok	2	31
poi/SimpleScatterChart.xlsx	ok	2	6
poi/SimpleStrict.xlsx	ok	2	31
poi/SimpleWithComments.xlsx	ok	3	6
poi/SingleCellTable.xlsx	ok	1	1
poi/StructuredReferences.xlsx	ok	2	24
poi/StructuredRefs-lots-with-lookups.xlsx	ok	5	38758
poi/style-alternate-content.xlsx	ok	1	102
poi/styles.xlsx	ok	3	21
poi/table-sample.xlsx	ok	1	43
poi/Tables.xlsx	ok	12	3677
